الإداره	الإسم	رقم البصمه	التاريخ والوقت	نوع الحركه	المكان	الرقم	طريقة التسجيل	رقم الكارت
ACME Corp	John Doe	1	01/07/2026 09:00:00 AM	حضور	1		Fingerprint	
ACME Corp	John Doe	1	01/07/2026 07:00:00 PM	إنصراف	1		Fingerprint	
ACME Corp	John Doe	1	02/07/2026 09:00:00 AM	حضور	1		Fingerprint	
ACME Corp	John Doe	1	02/07/2026 07:00:00 PM	إنصراف	1		Fingerprint	
ACME Corp	John Doe	1	03/07/2026 09:00:00 AM	حضور	1		Fingerprint	
ACME Corp	John Doe	1	03/07/2026 07:00:00 PM	إنصراف	1		Fingerprint	
ACME Corp	John Doe	1	04/07/2026 09:00:00 AM	حضور	1		Fingerprint	
ACME Corp	John Doe	1	04/07/2026 07:00:00 PM	إنصراف	1		Fingerprint	
ACME Corp	John Doe	1	05/07/2026 09:00:00 AM	حضور	1		Fingerprint	
ACME Corp	John Doe	1	05/07/2026 07:00:00 PM	إنصراف	1		Fingerprint	
ACME Corp	John Doe	1	06/07/2026 09:00:00 AM	حضور	1		Fingerprint	
ACME Corp	John Doe	1	06/07/2026 07:00:00 PM	إنصراف	1		Fingerprint	
ACME Corp	John Doe	1	07/07/2026 09:00:00 AM	حضور	1		Fingerprint	
ACME Corp	John Doe	1	07/07/2026 07:00:00 PM	إنصراف	1		Fingerprint	
ACME Corp	John Doe	1	08/07/2026 09:00:00 AM	حضور	1		Fingerprint	
ACME Corp	John Doe	1	08/07/2026 07:00:00 PM	إنصراف	1		Fingerprint	
ACME Corp	John Doe	1	09/07/2026 09:00:00 AM	حضور	1		Fingerprint	
ACME Corp	John Doe	1	09/07/2026 07:00:00 PM	إنصراف	1		Fingerprint	
ACME Corp	John Doe	1	10/07/2026 09:00:00 AM	حضور	1		Fingerprint	
ACME Corp	John Doe	1	10/07/2026 07:00:00 PM	إنصراف	1		Fingerprint	
ACME Corp	John Doe	1	11/07/2026 09:00:00 AM	حضور	1		Fingerprint	
ACME Corp	John Doe	1	11/07/2026 07:00:00 PM	إنصراف	1		Fingerprint	
ACME Corp	John Doe	1	12/07/2026 09:00:00 AM	حضور	1		Fingerprint	
ACME Corp	John Doe	1	12/07/2026 07:00:00 PM	إنصراف	1		Fingerprint	
ACME Corp	John Doe	1	13/07/2026 09:00:00 AM	حضور	1		Fingerprint	
ACME Corp	John Doe	1	13/07/2026 07:00:00 PM	إنصراف	1		Fingerprint	
ACME Corp	John Doe	1	14/07/2026 09:00:00 AM	حضور	1		Fingerprint	
ACME Corp	John Doe	1	14/07/2026 07:00:00 PM	إنصراف	1		Fingerprint	
ACME Corp	John Doe	1	15/07/2026 09:00:00 AM	حضور	1		Fingerprint	
ACME Corp	John Doe	1	15/07/2026 07:00:00 PM	إنصراف	1		Fingerprint	
ACME Corp	John Doe	1	16/07/2026 09:00:00 AM	حضور	1		Fingerprint	
ACME Corp	John Doe	1	16/07/2026 07:00:00 PM	إنصراف	1		Fingerprint	
ACME Corp	John Doe	1	17/07/2026 09:00:00 AM	حضور	1		Fingerprint	
